created,text,retwc,hashtag,followers,friends
2021-06-04 21:13:40,b'RT @Brexit: The U.K.\xe2\x80\x99s top financiers have been invited to meet Prime Minister Boris Johnson and Chancellor of the Exchequer Rishi Sunak to\xe2\x80\xa6',1,None,6932,7426
2021-06-04 21:13:40,b'RT @JonJonesSnr: Travel to Portugal was stopped at the first sight of rising infections.\n\nTravel to India was kept open to facilitate the s\xe2\x80\xa6',387,None,417,411
2021-06-04 21:13:34,"b'RT @SusanChubb1: @theAliceRoberts Usual suspects I see. Moylan seems to have taken over from Rees Mogg for prime Brexiteer idiocy, running\xe2\x80\xa6'",2,None,17680,15086
2021-06-04 21:13:32,b'RT @DavidHenigUK: Would you want to visit a country whose government has a department dedicated to making your visit as difficult and expen\xe2\x80\xa6',161,None,454,894
2021-06-04 21:13:32,"b""@BBCBusiness @BBCNews What did people expect w Brexit? If Brexit voters are so 'patriotic' &amp; love our country so mu\xe2\x80\xa6 https://t.co/QgSVvi0w52""",0,None,589,1032
2021-06-04 21:13:31,b'Worth a read  *The Benefits Of Brexit* https://t.co/88QNeaBAG5',0,None,6066,6078
2021-06-04 21:13:31,"b'@InsideJobby @AndyEastAnglia @Saffiya_Khan1 @zarahsultana @pritipatel ""..According to reports last year, which were\xe2\x80\xa6 https://t.co/oElLYk4ABY'",0,None,5814,6391
2021-06-04 21:13:28,b'RT @MarinaNigrelli: It gets better\xe2\x80\xa6\n\nHe\xe2\x80\x99s also the same Lee Anderson that staged a fake door-knocking with his pal \n\nAnd the same Lee Ander\xe2\x80\xa6',43,None,88,170
2021-06-04 21:13:26,"b'RT @dontbrexitfixit: If I accept Brexit, then I accept deception, cheating, lying and breaking the law.\nIf I embrace Brexit then I embrace\xe2\x80\xa6'",129,None,209,525
2021-06-04 21:13:23,b'I guess \xe2\x80\x9cBrexit: It\xe2\x80\x99s nowhere near as good as what we have\xe2\x80\x9d wouldn\xe2\x80\x99t  have been as effective as a bus with a lie on\xe2\x80\xa6 https://t.co/9Lm9kH4iC6',0,None,6690,2190
2021-06-04 21:13:23,b'RT @JonJonesSnr: Travel to Portugal was stopped at the first sight of rising infections.\n\nTravel to India was kept open to facilitate the s\xe2\x80\xa6',386,None,2618,3942
2021-06-04 21:13:20,b'RT @coaimpaul: Brits have been warned they could see their supermarket bills soar as new red tape on trade with the EU comes into effect. S\xe2\x80\xa6',370,None,1276,1583
2021-06-04 21:13:20,"b'RT @Ambulchen: ""Embrace Brexit...."" Have they met us? We are #FBPE... we will never embrace the lies, the corruption, the greed that led to\xe2\x80\xa6'",5,FBPE,1423,4987
2021-06-04 21:13:20,b'RT @acgrayling: I loathe what Brexit has done &amp; is doing to our country.',1190,None,196,407
2021-06-04 21:13:16,b'RT @Eddystone506: Why is it so hard for brexit dinosaaurs to understand that:\n\n1) we paid the EU \xc2\xa310bn per year\n\n2) and got \xc2\xa3325bn exports\xe2\x80\xa6',409,None,6023,6592
2021-06-04 21:13:14,"b'RT @HarryYorke1: Exclusive with @JamesCrisp6 \n\nThe UK\xe2\x80\x99s participation in Horizon Europe, the EU\xe2\x80\x99s \xe2\x82\xac100bn flagship research programme, is no\xe2\x80\xa6'",10,None,2709,2711
2021-06-04 21:13:12,b'RT @Eddystone506: Why is it so hard for brexit dinosaaurs to understand that:\n\n1) we paid the EU \xc2\xa310bn per year\n\n2) and got \xc2\xa3325bn exports\xe2\x80\xa6',409,None,1536,2707
2021-06-04 21:13:09,b'The government is strengthening their borders against European children trying to go on trips to the UK https://t.co/uIUJt1nTY1',0,None,269,708
2021-06-04 21:13:09,"b'@MrsEmmaJK @VesperUK https://t.co/mm1bPFPcNX\n\n.\xc2\xa0On Brexit, the impact on trade with EU countries is already visible\xe2\x80\xa6 https://t.co/ypiY579xMY'",0,None,945,1651
2021-06-04 21:13:09,b'RT @PeterStefanovi2: I\xe2\x80\x99m sure we can count on @AndrewMarr9 this Sunday to do the right thing and remind viewers Boris Johnson sold his Brex\xe2\x80\xa6',570,None,1666,1732
2021-06-04 21:13:08,b'RT @ASK_des: https://t.co/8wUshGtUXK Stop putting this Labour Clown on TV all the time. Richard I talk bollocks everytime  I\xe2\x80\x99m on TV Burgon\xe2\x80\xa6',400,None,183,130
2021-06-04 21:13:05,"b'@IGD_News Almqvist &amp; Ekeroth \n\xe2\x80\x9cBannon said he wanted to talk to those around the table about how, after Brexit and\xe2\x80\xa6 https://t.co/cwhvHqud9y'",0,None,3201,2306
2021-06-04 21:13:03,"b'brexit or not,\ninfighting and unproductive outrage remains the DNA of politics.\nwhen the later reaches corruption,\xe2\x80\xa6 https://t.co/TAfA9EsSjZ'",0,None,15,33
2021-06-04 21:12:59,"b""RT @Matt_JE7: #LBC caller : I forgive Johnson and Hancock for all the mistakes (deaths), but they've lost my support over the Portugal deba\xe2\x80\xa6""",1399,LBC,87,154
2021-06-04 21:12:58,b'@Elizabe32413720 Never seen this cheese in UK stores since Brexit @TheTwatRises',0,None,7006,270
2021-06-04 21:12:55,b'RT @ghost_wales: If the EU is so brilliant why are people risking their lives to come here on dinghies?\nI can only assume that the flag sha\xe2\x80\xa6',34,None,2567,3719
2021-06-04 21:12:52,"b""RT @Matt_JE7: #LBC caller : I forgive Johnson and Hancock for all the mistakes (deaths), but they've lost my support over the Portugal deba\xe2\x80\xa6""",1399,LBC,58,130
2021-06-04 21:12:51,"b""RT @DanFinn95: Even Hodge's critics often forget the timing of her outburst\xe2\x80\x94shortly after Boris Johnson resigned from May's cabinet in prot\xe2\x80\xa6""",5,None,542,912
2021-06-04 21:12:50,"b""RT @Matt_JE7: #LBC caller : I forgive Johnson and Hancock for all the mistakes (deaths), but they've lost my support over the Portugal deba\xe2\x80\xa6""",1399,LBC,591,798
