created,text,retwc,hashtag,followers,friends
2021-10-25 18:30:06,"b'RT @JupitarOfficial: Jupitar is set to lockdown this Christmas with ""The One Concert""! All roads lead to Fantasy Dome on Saturday 18th Dece\xe2\x80\xa6'",41,None,5248,5008
2021-10-25 18:30:06,"b""@SwailesRuth That's halloween Rudolph! Christmas Rudolph has a red nose""",0,None,28059,6712
2021-10-25 18:30:04,b'RT @matthewjdowd: Fox News you seem to be intent on scaring folks about Christmas even before Halloween.  If you are so worried about suppl\xe2\x80\xa6',2708,None,1073,1018
2021-10-25 18:30:04,"b'@louisrry_ @sunfflouwerry im in my christmas mood since december to december, what im even talking about, i still h\xe2\x80\xa6 https://t.co/P1OboopCZ4'",0,None,725,570
2021-10-25 18:30:04,b'RT @moneyMYYY: Christmas really my fav holiday &amp; Im ready to decorate already\xf0\x9f\xa5\xb4',6,None,1504,683
2021-10-25 18:30:03,b'RT @Sara1964: #EarlyBiz #goodmorning Christmas is just 2 months away so order early and #shopsmall #supportlocal not #Amazon         #etsy\xe2\x80\xa6',22,EarlyBiz,2032,4991
2021-10-25 18:30:03,b'can i start listening to christmas music uet',0,None,727,237
2021-10-25 18:30:02,b'4 More Books to Add to Your Christmas Reading List https://t.co/UOMq8JXopp via @Girl_Who_Reads https://t.co/sl3afgVv3v',0,None,4208,3151
2021-10-25 18:30:02,b'Now playing Love One Another by Christmas The Band!',0,None,477,596
2021-10-25 18:30:01,"b""I've been updating my Etsy shop this weekend. All profits from my sales go to Brain Research UK.A charity which hel\xe2\x80\xa6 https://t.co/Nu55ai3utz""",0,None,1065,653
2021-10-25 18:30:00,b'.@bretteldredge\xe2\x80\x99s latest foyer into the festive world of holiday music arrived with the release of his 11-track pro\xe2\x80\xa6 https://t.co/UGpQxep90o',0,None,3745513,2433
2021-10-25 18:30:00,"b""Fill in the blank: 'This time on Christmas Day I will be______________________' I think I will proberly be thinking\xe2\x80\xa6 https://t.co/0FOk43LWCS""",0,None,14808,1060
2021-10-25 18:30:00,b'merry christmas here I am boy\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',0,None,51,127
2021-10-25 18:30:00,b'Day 25 and can you believe people are talking about Christmas already? Mr. Oogie-Boogie has a thing or two to say a\xe2\x80\xa6 https://t.co/fAm69UfWdU',0,None,988,191
2021-10-25 18:30:00,b'The movie will mark the first time the streaming platform has featured a gay romance as its main storyline of a Chr\xe2\x80\xa6 https://t.co/c241WCooNO',0,None,396556,315
2021-10-25 18:30:00,"b""\xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x8e\x81 So, today marks exactly two months until Christmas Day ... and we're so excited about the extra-special, zero-e\xe2\x80\xa6 https://t.co/FlPcx0eK6J""",0,None,4511,267
2021-10-25 18:29:59,"b'RT @Georgina_WP: \xf0\x9f\x91\x89It might be Monday morning but with #Halloween &amp; #Christmas coming up, do you need to #win \xc2\xa389 of limited edition #beer f\xe2\x80\xa6'",2,Halloween,2807,1261
2021-10-25 18:29:58,b'RT @morninggloria: stores that put christmas stuff out prior to october 31 are violating the sanctity of halloween',9,None,611,1596
2021-10-25 18:29:57,"b""@SallyCinamon74 @looksunfamiliar I still put Mr Frosty on my Christmas List. I'm 49.""",0,None,1563,1901
2021-10-25 18:29:56,b'Christmas Table-Top Decoration. N2500 each. Now available on the website. #partylocksltd #kayatsdiycorner https://t.co/88cxhuyfBd',0,partylocksltd,149,116
2021-10-25 18:29:56,"b'@marklewismd Since diagnosis, I celebrate every birthday, cancerversary, regular anniversary, Christmas, payday, Fr\xe2\x80\xa6 https://t.co/stOW1yS6Xj'",0,None,109,460
2021-10-25 18:29:56,b'RT @ntferny: is this the war on Christmas I\xe2\x80\x99ve heard about?',2225,None,1010,776
2021-10-25 18:29:56,"b'RT @KatieMettner: \xe2\x80\x9cThe book reads like a #Hallmark movie, but the difference is, the movie part of the story is like that, but Carrie and B\xe2\x80\xa6'",17,Hallmark,1882,2100
2021-10-25 18:29:54,b'RT @bbyobos: OP told Jihoon they wish for SVT to release a Christmas carol and Jihoon promised they would \xf0\x9f\x98\xad\xf0\x9f\x98\xad',1372,None,1101,1036
2021-10-25 18:29:54,b'RT @translatingTXT: \xf0\x9f\x90\xbb: \xe2\x80\x9cwhat is gyu d\xe2\x80\x99s favorite christmas carol?\xe2\x80\x9d i really like &lt;santa tell me&gt;! there was a time before we debuted when t\xe2\x80\xa6',309,None,530,985
2021-10-25 18:29:53,b'RT @losttinoct: 61 days left until Christmas \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',388,None,571,571
2021-10-25 18:29:53,b'How is Friday After Next not a Christmas movie? \xf0\x9f\x98\x82\xf0\x9f\x99\x84 just shut up',0,None,2454,1589
2021-10-25 18:29:53,"b'RT @sewnupbyjen: Wheat Bags filled with buckwheat and lavender, a perfect replacement for rubber hot water bottles.  They all have a remova\xe2\x80\xa6'",8,None,611,254
2021-10-25 18:29:51,b'@markknoller The folks planning the WH Christmas decor should make this happen.',0,None,1391,2003
2021-10-25 18:29:50,b'@casabonita89 @MariahsRarities @timriah @SamMarlow79 @rkylesmith The embarrassment is men being triggered by a chri\xe2\x80\xa6 https://t.co/KFeGalqvbW',0,None,11,11
2021-10-25 18:29:50,b'RT @sevenbowie: @essenviews They give toiled paper for Christmas presents? How Republican is THAT?  \xf0\x9f\x98\x81\xf0\x9f\x98\x81 https://t.co/Vl5X2WI2lk',1,None,139868,67274
2021-10-25 18:29:50,b'RT @ntferny: is this the war on Christmas I\xe2\x80\x99ve heard about?',2225,None,91,577
2021-10-25 18:29:50,"b'RT @kerpen: Florida is doing record cargo volume with no backlogs, and is inviting vessels stalled in California to divert via the Panama C\xe2\x80\xa6'",3302,None,194,402
2021-10-25 18:29:49,b'RT @losttinoct: Christmas with you is the best thing \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',1096,None,189,847
2021-10-25 18:29:49,b'RT @CwtchCottage: Excited to share the latest addition to my #etsy shop: Handpainted 150mm Halloween Black Cat Figure Ornament. Ideal gift\xe2\x80\xa6',2,etsy,3888,4254
2021-10-25 18:29:48,b'#NowPlaying As Fast As - Wonderful Christmastime\nListen at https://t.co/ifwZph11B0\n#christmas #alternative #radio',0,NowPlaying,21,1
2021-10-25 18:29:48,"b""RT @rec777777: You couldn't get more Jewish than Jack Cohen of Tesco. A truly great  businessman, who was wonderful for Britain.\n\nJack sold\xe2\x80\xa6""",123,None,200,586
2021-10-25 18:29:47,b'RT @losttinoct: Christmas with you is the best thing \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',1096,None,333,208
2021-10-25 18:29:45,b'@thehill He\xe2\x80\x99s also selling FJB and Let\xe2\x80\x99s Go Brandon shirts. Stock up now before Christmas!',0,None,50,468
2021-10-25 18:29:45,b'RT @GuntherEagleman: The guy is killing dogs and cancelling Christmas\xe2\x80\xa6 Is this really America?',914,None,157,229
2021-10-25 18:29:45,b'RT @losttinoct: Christmas with you is the best thing \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',1096,None,1209,1353
2021-10-25 18:29:42,"b'RT @zazavintageboho: https://t.co/J9819BgvPV\n\nStay in touch, if you love buttons and charms as much as I do: https://t.co/QhcLLSMkjj\n\nLet\xe2\x80\x99s\xe2\x80\xa6'",2,None,3888,4254
