title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Chiefs vs. Buccaneers | Super Bowl LV Game Highlights,Gz5-NQROQGw,10652539,118601,6492,28175,0
The Weeknd’s FULL Pepsi Super Bowl LV Halftime Show,9rhadTURsrw,38314508,1274232,63657,128000,0
Shakira &amp; J. Lo&#39;s FULL Pepsi Super Bowl LIV Halftime Show,pILCn6VO_RU,209030075,3263387,179515,310400,0
Super Bowl 54 FULL Game: Kansas City Chiefs vs. San Francisco 49ers,jQ1l5zenaKY,5537767,41146,2309,6957,0
Super Bowl LV Trophy Presentation &amp; MVP Speech!,PXx7iF3hVCw,2142886,38991,1198,6641,0
Katy Perry&#39;s FULL Pepsi Super Bowl XLIX Halftime Show! | Feat. Missy Elliott &amp; Lenny Kravitz | NFL,ZD1QrIe--_Y,53470587,479145,20894,25537,0
"Super Bowl LV Mic&#39;d Up! | &quot;This is What We Do, Two Tuddies!?&quot; | Game Day All Access 2020",Wu9KLQltxxo,5162664,78313,1919,12097,0
Super Bowl 51 FULL GAME: New England Patriots vs. Atlanta Falcons,noLK78Hgq0A,3283346,21284,1191,3382,0
Super Bowl LV | NFL Films Presents,oQXzeJ-zOCU,1825421,23742,720,4452,0
49ers vs. Chiefs | Super Bowl LIV Game Highlights,UVV80kTudSM,13005599,123987,6196,22816,0
Tom Brady Secures His 7th Super Bowl Victory! | Super Bowl LV Highlights,6KVa8xJgOaA,1667277,16292,630,4017,0
Kansas City Chiefs vs. Tampa Bay Buccaneers | NFL Super Bowl Preview,gLTg-eIBgT8,1755713,20337,682,5847,0
Coldplay&#39;s FULL Pepsi Super Bowl 50 Halftime Show feat. Beyoncé &amp; Bruno Mars! | NFL,c9cUytejf1k,74665063,771750,17155,32004,0
Super Bowl 52 FULL Game: New England Patriots vs. Philadelphia Eagles,0FF_DbJ3G68,3103807,22508,1187,3179,0
Patriots vs. Falcons | Super Bowl LI Game Highlights,016LXFHpFCk,14486191,112676,6220,19521,0
Super Bowl XLIX: Tom Brady vs. Russell Wilson | Patriots vs. Seahawks | NFL Full Game,0RFXLwZV_fA,5393652,29732,2268,4112,0
Lady Gaga&#39;s FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL,txXwg712zw4,72608560,848504,48134,73219,0
Super Bowl XLV | Packers vs. Steelers | NFL Full Game,WdakQksuoBg,4490545,21496,1888,2557,0
Super Bowl 50 - Panthers vs. Broncos | NFL Full Game,ukmu4DPgtOo,6572951,34290,2027,4368,0
Michael Jackson   Super Bowl 1993 Performance   HD,nBkNQZ-6QHg,46577765,414168,15716,31432,0
Beyoncé &amp; Bruno Mars Crash the Pepsi Super Bowl 50 Halftime Show | NFL,SDPITj1wlkg,123837335,1080659,31657,32903,0
Super Bowl XLVII: &quot;The Harbaugh Bowl&quot; aka &quot;The Blackout&quot; | Ravens vs. 49ers | NFL Full Game,RFBax7ItE30,1629619,12956,566,2244,0
Lady Gaga - Pepsi Zero Sugar Super Bowl LI Halftime Show,mjrdywp5nyE,49864330,589071,13543,27431,0
Justin Timberlake - Pepsi Super Bowl LII Halftime Show,v6xUgawDQB0,24694019,253734,25749,17828,0
Maroon 5 (feat. Travis Scott &amp; Big Boi) | Pepsi Super Bowl LIII Halftime Show,zIwkhEqVq4s,17838761,186789,987998,100150,0
