,name,album,artist,releas_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,La Valse de L'Amour,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,154560,51,0.892,0.196,0.14,0.941,0.104,-19.384,0.0353,58.637,4
1,Merry-Go-Round of Life (From Howl's Moving Castle Original Soundtrack),Studio Ghibli Meets Orchestra [Live (Remastered)],Nuvo Orchestra 누보 오케스트라,2020-05-25,213146,63,0.956,0.255,0.26,0.892,0.19,-12.004,0.0352,115.763,4
2,Potter Waltz,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,138840,54,0.879,0.138,0.207,0.915,0.121,-17.358,0.0408,176.246,3
3,It's Romance,Little Women (Original Motion Picture Soundtrack),Alexandre Desplat,2019-12-13,83800,39,0.895,0.275,0.66,0.94,0.237,-11.203,0.0375,87.856,5
4,The Boy Who Swallowed a Star,Howl's Moving Castle Soundtrack,Joe Hisaishi,2004-11-19,449840,46,0.974,0.0712,0.158,0.913,0.0579,-17.347,0.0405,66.659,4
5,A Walk in the Skies,Howl's Moving Castle Soundtrack,Joe Hisaishi,2004-11-19,134813,57,0.93,0.366,0.262,0.842,0.0491,-12.798,0.0342,119.388,3
6,Experience,In A Time Lapse,Ludovico Einaudi,2013-01-01,315426,78,0.934,0.447,0.449,0.961,0.0697,-10.634,0.0376,92.468,4
7,"The Nutcracker, Op.71, TH.14 / Act 2: 14a. Pas de deux, Andante maestoso",The Nutcracker,Pyotr Ilyich Tchaikovsky,1981-09-04,296040,44,0.973,0.205,0.236,0.907,0.105,-12.723,0.0359,111.503,3
8,Legend of Ashitaka (From The Princess Mononoke Original Soundtrack),Studio Ghibli Meets Orchestra [Live (Remastered)],Nuvo Orchestra 누보 오케스트라,2020-05-25,282706,31,0.94,0.196,0.305,0.899,0.338,-9.864,0.0344,80.289,4
9,The Princess Diaries Waltz - Score,The Princess Diaries,John Debney,2001-01-01,129000,54,0.848,0.253,0.151,0.909,0.121,-18.081,0.0345,136.754,5
10,The Library,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,185653,33,0.895,0.168,0.0151,0.923,0.192,-27.59,0.043,66.199,3
11,"Kingdom Dance - From ""Tangled""/Score",Tangled,Various Artists,2010-01-01,140413,55,0.0904,0.239,0.614,0.403,0.129,-9.819,0.0773,155.658,3
12,Reprise,Spirited Away Soundtrack,Joe Hisaishi,2001-07-18,293600,48,0.929,0.163,0.194,0.957,0.115,-16.41,0.0332,94.746,3
13,Home - Extended Mix,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,124093,37,0.835,0.163,0.0511,0.69,0.102,-25.508,0.0358,98.361,4
14,La Valse Champagne,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,95160,35,0.936,0.537,0.116,0.976,0.076,-17.47,0.0372,110.481,4
15,The Great Secret,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,181173,43,0.948,0.0954,0.0215,0.879,0.087,-26.915,0.0402,87.591,3
16,La Polka de Paris,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,82733,31,0.805,0.596,0.262,0.865,0.273,-17.82,0.0378,140.087,4
17,Awaken (feat. Jack Liebeck),Jane Eyre - Original Motion Picture Soundtrack,Dario Marianelli,2011-03-08,265933,51,0.948,0.167,0.0439,0.913,0.0904,-17.999,0.0437,76.877,4
18,A Secret Garden,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,168306,34,0.855,0.225,0.0265,0.489,0.308,-23.768,0.0384,112.169,5
19,Transformations,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,246760,38,0.478,0.198,0.326,0.504,0.186,-13.564,0.035,117.609,4
20,Overture,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,185560,47,0.752,0.147,0.448,0.875,0.353,-9.636,0.0368,71.812,4
21,"Tour of the Kingdom - From ""The Little Mermaid""/Score",The Little Mermaid,Various Artists,1997-01-01,87186,37,0.876,0.42,0.158,0.9,0.11,-15.77,0.0336,101.574,4
22,Dance on the Porch,Little Women (Original Motion Picture Soundtrack),Alexandre Desplat,2019-12-13,67973,39,0.891,0.622,0.484,0.794,0.11,-10.954,0.0364,100.402,3
23,White Roses of Scotland,Outlander: Season 2 (Original Television Soundtrack),Bear McCreary,2016-10-28,270440,30,0.95,0.16,0.0898,0.96,0.0729,-21.585,0.0398,108.969,3
24,Olga,Ladies in Lavender (Original Motion Picture Soundtrack),Joshua Bell,2004-11-01,209653,19,0.964,0.259,0.126,0.0459,0.0991,-20.356,0.0574,111.069,1
25,Dancing in the Rain,Dancing in the Rain,Johannes Bornlöf,2019-05-03,161372,19,0.934,0.31,0.145,0.95,0.162,-15.667,0.033,140.076,4
26,Duneagle,Downton Abbey - The Ultimate Collection (Music From The Original TV Series),The Chamber Orchestra Of London,2015-12-04,126853,37,0.955,0.312,0.197,0.909,0.0901,-14.233,0.0312,91.582,4
