created,text,retwc,hashtag,followers,friends
2021-06-10 14:47:54,b'RT @PotterWorldUK: Harry Potter vs Lord Voldemort https://t.co/ibe2W5wiXI',65,None,175,146
2021-06-10 14:47:54,b'@belfaststeve @capedjoosader @TracyAnnO You say he had a small part. I didn\xe2\x80\x99t think Harry Potter was that kind of film?',0,None,646,1145
2021-06-10 14:47:39,"b'RT @dora_t0nks: as representatividades em Harry Potter, \na thread! https://t.co/bcdqSrAFP6'",1037,None,142,186
2021-06-10 14:47:38,b'@ishoungry you know the guy who made the ultimate showdown of ultimate destiny and harry potter puppet pals and mou\xe2\x80\xa6 https://t.co/1YZRxsoH8u',0,None,184,55
2021-06-10 14:47:28,b'@martinolimx Harry potter \xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x80\xf0\x9f\x91\x80',0,None,0,40
2021-06-10 14:47:24,b'RT @wizardingworld: The final set of Hogwarts House Editions are out today! These limited editions of Harry Potter and the Deathly Hallows\xe2\x80\xa6',224,None,49,192
2021-06-10 14:47:23,"b""Hello Everyone\nI'm Bonya\nI like \xe2\x86\x93\nPokemon\nKirby\nMario\nCrash Bandicoot\nBen 10\nHarry Potter\nMake Friends\nFumos Plushi\xe2\x80\xa6 https://t.co/OSdgGWuqm3""",0,None,6,7
2021-06-10 14:47:20,"b'RT @jasonlipshutz: ""Arcade"" by @dunclaurence is cool song! It\'s also a Eurovision contest winner, a Harry Potter TikTok meme soundtrack, an\xe2\x80\xa6'",2,None,713,35
2021-06-10 14:47:08,b'@LeaChrbnn @honkerlea i\xe2\x80\x99m sorry but is this what cancel culture has become?? because that\xe2\x80\x99s way too far yeah sure t\xe2\x80\xa6 https://t.co/nvpXp1LWQw',0,None,32,631
2021-06-10 14:47:04,"b'@IL0VEthe80s Harry potter, sleepy hollow\nDirty dozen\nMidsummer murders \nThe first knight'",0,None,189,417
2021-06-10 14:47:04,b'RT @georqlvr: just wanted to come on here and say george should do a 3 hour solo stream of him just finishing the harry potter game',9,None,591,548
2021-06-10 14:46:58,b'RT @PotterWorldUK: Harry Potter vs Lord Voldemort https://t.co/ibe2W5wiXI',65,None,516,1881
2021-06-10 14:46:48,b'Anya Taylor Joy main film sama Harry Potter dan Voldemort sekaligus. Successful Potter head indeed',0,None,524,669
2021-06-10 14:46:47,"b""First, THAT'S MY DAD'S NAME... Second, HARRY POTTER IS THE BEST SHUT UP LOU https://t.co/r3P0I4afKr""",0,None,93,151
2021-06-10 14:46:47,b'fandoms need to let harry potter aus die so heres my suggestion instead : normalize warrior cat aus',0,None,516,622
2021-06-10 14:46:38,b'Harry Potter and the Goblet of Fire is the best film in the franchise...go argue with your mom',0,None,446,318
2021-06-10 14:46:36,b'gon and yonghee both talking about harry potter... https://t.co/e2O3yf66TS',0,None,575,275
2021-06-10 14:46:33,b'RT @sarahheartst: do americans not know that in australian schools we are put in houses just like at hogwarts in harry potter... and we hav\xe2\x80\xa6',18,None,1257,1339
2021-06-10 14:46:31,"b'I\xe2\x80\x99m just gonna say it, I never liked Harry Potter'",0,None,7,34
2021-06-10 14:46:28,"b'RT @TruckFestival: Watch @ShaunWilliamson rate Microphones, Harry Potter and Radiohead \xf0\x9f\x91\x80\xf0\x9f\x8e\xa4 https://t.co/dpo4RzKkRy'",2,None,12373,1054
2021-06-10 14:46:25,"b'RT @rowlinglibrary: \xf0\x9f\x93\xa2 Publication Day! \xf0\x9f\x8e\x89\xf0\x9f\xa5\xb3\n\nFour years ago, Bloomsbury started to publish the Hogwarts Houses Editions. They are releasing t\xe2\x80\xa6'",20,None,624,762
2021-06-10 14:46:23,b'RT @TweetYukiTweet: Remember when Junta added a video file in a newspaper \xf0\x9f\x99\x82\nHarry Potter? who? https://t.co/sSSzoM6VK6',26,None,15,132
2021-06-10 14:46:20,b'/wzd Newt Scamander or Harry Potter?',0,None,16733,1373
2021-06-10 14:46:02,"b'@moviemenfes harry potter, transporter, anaconda, rush hour'",0,None,86,234
2021-06-10 14:45:45,"b'RT @itsdianadaisies: a thread of cozy, indie games that i\xe2\x80\x99m looking forward to starting... now\xf0\x9f\x90\xb0\xf0\x9f\x8c\xb7 first up\xe2\x80\x94 witchbrook; a game made by stard\xe2\x80\xa6'",471,None,13,498
2021-06-10 14:45:44,b'@BTSPurpleBullet Harry Potter\n\nI vote for @BTS_twt for #PremiosMTVMIAW #MTVLAKPOPBTS',0,PremiosMTVMIAW,649,737
2021-06-10 14:45:34,b'@AshKPink i want him to finish that dumb harry potter game so badd',0,None,24,361
2021-06-10 14:45:32,b'RT @HayamIbraheim: ESPRESSO PATRONUM \xe2\x9a\xa1\nHarry potter customised mug \xe2\x9c\xa8\n\n#polymerclay #polymerclaymugart  #polymerclaymug #handmade #madewithl\xe2\x80\xa6',1,polymerclay,1189,902
2021-06-10 14:45:30,b'RT @AliJayy: Rymin AU Harry Potter + expecto patronum  #InfinityTrain https://t.co/GryhwPKA6t',131,InfinityTrain,277,1600
2021-06-10 14:45:28,"b'RT @rowlinglibrary: \xf0\x9f\x93\xa2 Publication Day! \xf0\x9f\x8e\x89\xf0\x9f\xa5\xb3\n\nFour years ago, Bloomsbury started to publish the Hogwarts Houses Editions. They are releasing t\xe2\x80\xa6'",20,None,49,192
2021-06-10 14:45:28,b'Omgggggg I\xe2\x80\x99m going to binge watch Harry Potter again lol',0,None,674,226
2021-06-10 14:45:24,"b'@Timmyti57158970 @IGN ""I could careless"" Lmao, what are they teaching you kids these days? The way *you\'re shows ho\xe2\x80\xa6 https://t.co/O1NslMo6xa'",0,None,21,295
2021-06-10 14:45:20,b'RT @wizardingworld: The final set of Hogwarts House Editions are out today! These limited editions of Harry Potter and the Deathly Hallows\xe2\x80\xa6',224,None,26,198
2021-06-10 14:45:08,"b'The Harry Potter store just needs to have reservations, they\xe2\x80\x99re doing too much and I want a wand!'",0,None,549,462
2021-06-10 14:44:40,"b'My 5 year son is obsessed with Harry Potter, he\xe2\x80\x99s read all the books, and literally thinks he\xe2\x80\x99s a wizard that belon\xe2\x80\xa6 https://t.co/oHuBS7edRi'",0,None,3558,142
2021-06-10 14:44:28,b'@COACHZOO88 @kalebeazyflex1 Is this a Harry Potter reference? \xf0\x9f\xa4\x94',0,None,61,144
2021-06-10 14:44:18,"b""Didn't expect Pattinson to appeal in Harry Potter \xf0\x9f\x91\x80""",0,None,733,1099
2021-06-10 14:44:10,b'I feel there should a be reward system when you get people to read Harry Potter for the first time.',0,None,678,402
2021-06-10 14:44:06,"b'RT @jasonlipshutz: ""Arcade"" by @dunclaurence is cool song! It\'s also a Eurovision contest winner, a Harry Potter TikTok meme soundtrack, an\xe2\x80\xa6'",2,None,271,211
2021-06-10 14:43:42,"b'@RaxTheHero Mha just has a soft power system imo, meaning it has no hard/concrete rules kinda like harry potter whe\xe2\x80\xa6 https://t.co/iexseutyMm'",0,None,31,356
2021-06-10 14:43:31,b'@capedjoosader I think he was in a few Harry Potter films.',0,None,100,278
2021-06-10 14:43:05,b'@manicpixedreem The Harry Potter series.',0,None,245,422
2021-06-10 14:43:04,b'@texturedghost book from harry potter look alike jesus christ',0,None,2340,787
2021-06-10 14:42:58,b'RT @_erynb__: Need to watch the entire Harry Potter collection.',1,None,277,407
2021-06-10 14:42:46,b'@isaacfeldberg Personally I can\xe2\x80\x99t do any of those movies on a screen in a plane. In the past couple years when I\xe2\x80\x99ve\xe2\x80\xa6 https://t.co/h4Uk8xNGPM',0,None,102,1246
2021-06-10 14:42:41,"b'RT @flicker_2002: aaaackk jake holding a harry potter book, i wonder if he read the series already \xf0\x9f\xa4\xa7\xf0\x9f\x92\x96\n\n#JAKE #\xec\xa0\x9c\xec\x9d\xb4\xed\x81\xac #EN_OCLOCK\n#ENHYPEN @ENHY\xe2\x80\xa6'",401,JAKE,327,448
2021-06-10 14:42:13,"b""@astrophotosnap @JaxsonPohlman Harry potter Weasley's house lol""",0,None,2539,343
2021-06-10 14:42:10,b'It\xe2\x80\x99s so cute how they casted the kids for Harry Potter without them having acting experience. Besides Daniel tho. B\xe2\x80\xa6 https://t.co/WAAmwsPYTl',0,None,951,780
2021-06-10 14:42:02,b'@Booneruni wtf is a harry potter',0,None,28,460
2021-06-10 14:41:23,b'@moviemenfes harry potter?',0,None,1941,1841
