title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Chiefs vs. Buccaneers | Super Bowl LV Game Highlights,Gz5-NQROQGw,10652498,118601,6492,28175,0
The Weeknd’s FULL Pepsi Super Bowl LV Halftime Show,9rhadTURsrw,38314241,1274227,63657,127998,0
Shakira &amp; J. Lo&#39;s FULL Pepsi Super Bowl LIV Halftime Show,pILCn6VO_RU,209029856,3263385,179515,310401,0
Super Bowl 54 FULL Game: Kansas City Chiefs vs. San Francisco 49ers,jQ1l5zenaKY,5537740,41145,2309,6957,0
Super Bowl LV Trophy Presentation &amp; MVP Speech!,PXx7iF3hVCw,2142883,38991,1198,6641,0
"Super Bowl LV Mic&#39;d Up! | &quot;This is What We Do, Two Tuddies!?&quot; | Game Day All Access 2020",Wu9KLQltxxo,5162624,78313,1919,12097,0
Katy Perry&#39;s FULL Pepsi Super Bowl XLIX Halftime Show! | Feat. Missy Elliott &amp; Lenny Kravitz | NFL,ZD1QrIe--_Y,53470265,479138,20894,25536,0
Super Bowl 51 FULL GAME: New England Patriots vs. Atlanta Falcons,noLK78Hgq0A,3283320,21284,1191,3382,0
Super Bowl LV | NFL Films Presents,oQXzeJ-zOCU,1825396,23742,720,4452,0
49ers vs. Chiefs | Super Bowl LIV Game Highlights,UVV80kTudSM,13005588,123987,6196,22816,0
Tom Brady Secures His 7th Super Bowl Victory! | Super Bowl LV Highlights,6KVa8xJgOaA,1667274,16292,630,4017,0
Kansas City Chiefs vs. Tampa Bay Buccaneers | NFL Super Bowl Preview,gLTg-eIBgT8,1755712,20337,682,5847,0
Coldplay&#39;s FULL Pepsi Super Bowl 50 Halftime Show feat. Beyoncé &amp; Bruno Mars! | NFL,c9cUytejf1k,74664575,771744,17155,32004,0
Super Bowl 52 FULL Game: New England Patriots vs. Philadelphia Eagles,0FF_DbJ3G68,3103798,22508,1187,3179,0
Patriots vs. Falcons | Super Bowl LI Game Highlights,016LXFHpFCk,14486186,112676,6220,19521,0
Super Bowl XLIX: Tom Brady vs. Russell Wilson | Patriots vs. Seahawks | NFL Full Game,0RFXLwZV_fA,5393635,29732,2268,4112,0
Michael Jackson   Super Bowl 1993 Performance   HD,nBkNQZ-6QHg,46577016,414161,15716,31433,0
Lady Gaga&#39;s FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL,txXwg712zw4,72608542,848504,48134,73219,0
Super Bowl 50 - Panthers vs. Broncos | NFL Full Game,ukmu4DPgtOo,6572945,34289,2027,4368,0
Super Bowl XLV | Packers vs. Steelers | NFL Full Game,WdakQksuoBg,4490521,21496,1888,2557,0
Beyoncé &amp; Bruno Mars Crash the Pepsi Super Bowl 50 Halftime Show | NFL,SDPITj1wlkg,123836750,1080652,31657,32902,0
Super Bowl XLVII: &quot;The Harbaugh Bowl&quot; aka &quot;The Blackout&quot; | Ravens vs. 49ers | NFL Full Game,RFBax7ItE30,1629613,12956,566,2244,0
Justin Timberlake - Pepsi Super Bowl LII Halftime Show,v6xUgawDQB0,24693908,253733,25749,17828,0
Lady Gaga - Pepsi Zero Sugar Super Bowl LI Halftime Show,mjrdywp5nyE,49863813,589067,13542,27431,0
Maroon 5 (feat. Travis Scott &amp; Big Boi) | Pepsi Super Bowl LIII Halftime Show,zIwkhEqVq4s,17838745,186789,987997,100150,0
